Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,name,Returns
88.04,89.45,87.15,88.68,9670797,0.0,0.0,2022-07-12,GAIL,0.25
89.29,89.29,86.99,87.72,13899456,0.0,0.0,2022-07-13,GAIL,-0.96
87.88,89.22,87.72,88.87,9560767,0.0,0.0,2022-07-14,GAIL,1.15
89.03,90.44,88.91,89.61,10049224,0.0,0.0,2022-07-15,GAIL,0.74
89.77,92.19,89.77,91.94,6755344,0.0,0.0,2022-07-18,GAIL,2.33
91.81,92.51,87.6,89.48,12022441,0.0,0.0,2022-07-19,GAIL,-2.46
91.94,94.04,89.96,90.31,21701412,0.0,0.0,2022-07-20,GAIL,0.83
90.47,92.16,90.34,91.81,8781738,0.0,0.0,2022-07-21,GAIL,1.5
92.25,92.67,89.89,90.34,12390337,0.0,0.0,2022-07-22,GAIL,-1.47
92.38,94.1,91.11,93.79,20317410,0.0,0.0,2022-07-25,GAIL,3.45
93.95,93.95,91.65,91.84,12998664,0.0,0.0,2022-07-26,GAIL,-1.95
92.19,94.04,91.43,93.63,10419007,0.0,0.0,2022-07-27,GAIL,1.79
94.26,94.36,92.7,93.12,8473834,0.0,0.0,2022-07-28,GAIL,-0.51
93.98,94.33,93.21,93.53,7014877,0.0,0.0,2022-07-29,GAIL,0.41
94.17,95.59,94.14,94.62,10328928,0.666667,0.0,2022-08-01,GAIL,1.09
94.33,94.85,90.51,90.9,27076266,0.0,0.0,2022-08-02,GAIL,-3.72
91.44,91.47,88.65,90.45,19315218,0.0,0.0,2022-08-03,GAIL,-0.45
90.45,91.35,88.87,90.0,32498244,0.0,0.0,2022-08-04,GAIL,-0.45
89.87,89.87,85.12,85.37,65529649,0.0,0.0,2022-08-05,GAIL,-4.63
86.08,86.34,85.34,85.66,20840541,0.0,0.0,2022-08-08,GAIL,0.29
85.66,85.92,83.45,84.02,33311005,0.0,0.0,2022-08-10,GAIL,-1.64
84.79,84.89,82.51,82.64,38551380,0.0,0.0,2022-08-11,GAIL,-1.38
83.0,84.67,82.55,84.47,29145945,0.0,0.0,2022-08-12,GAIL,1.83
85.08,86.88,84.28,86.79,25540356,0.0,0.0,2022-08-16,GAIL,2.32
87.01,87.56,86.43,86.69,18559593,0.0,0.0,2022-08-17,GAIL,-0.1
86.88,87.36,86.53,87.11,16228315,0.0,0.0,2022-08-18,GAIL,0.42
87.24,87.62,85.34,85.53,15787270,0.0,0.0,2022-08-19,GAIL,-1.58
84.25,84.6,82.29,83.09,24640419,0.0,0.0,2022-08-22,GAIL,-2.44
82.74,85.18,82.48,84.99,16980100,0.0,0.0,2022-08-23,GAIL,1.9
84.38,85.15,83.89,84.86,17466696,0.0,0.0,2022-08-24,GAIL,-0.13
85.05,86.18,84.99,85.21,13795335,0.0,0.0,2022-08-25,GAIL,0.35
86.14,87.62,85.76,86.43,17163393,0.0,0.0,2022-08-26,GAIL,1.22
85.63,86.24,84.79,86.05,13597173,0.0,0.0,2022-08-29,GAIL,-0.38
86.91,87.97,86.72,87.43,16684747,0.0,0.0,2022-08-30,GAIL,1.38
87.65,88.2,86.88,87.59,18915690,0.0,0.0,2022-09-01,GAIL,0.16
88.07,88.2,86.59,86.91,17306892,0.0,0.0,2022-09-02,GAIL,-0.68
87.36,88.17,86.14,87.85,19224678,0.0,0.0,2022-09-05,GAIL,0.94
89.13,89.95,87.88,89.66,28296817,0.0,1.5,2022-09-06,GAIL,1.81
90.0,90.43,89.03,89.42,10690240,0.0,0.0,2022-09-07,GAIL,-0.24
89.9,90.33,89.03,89.18,7180648,0.0,0.0,2022-09-08,GAIL,-0.24
89.32,89.56,88.84,89.03,5597228,0.0,0.0,2022-09-09,GAIL,-0.15
89.32,89.71,88.99,89.37,6581257,0.0,0.0,2022-09-12,GAIL,0.34
89.56,90.0,88.74,88.94,7045689,0.0,0.0,2022-09-13,GAIL,-0.43
88.26,88.89,87.97,88.36,6872183,0.0,0.0,2022-09-14,GAIL,-0.58
88.5,89.8,87.78,87.88,8970450,0.0,0.0,2022-09-15,GAIL,-0.48
87.78,89.61,86.91,88.55,18170179,0.0,0.0,2022-09-16,GAIL,0.67
88.79,88.89,86.53,86.72,8372178,0.0,0.0,2022-09-19,GAIL,-1.83
87.11,88.02,86.82,87.59,6639747,0.0,0.0,2022-09-20,GAIL,0.87
87.4,87.64,85.32,85.76,13740141,0.0,0.0,2022-09-21,GAIL,-1.83
85.57,85.66,83.98,85.04,13003243,0.0,0.0,2022-09-22,GAIL,-0.72
84.79,85.28,82.58,82.87,8632586,0.0,0.0,2022-09-23,GAIL,-2.17
82.53,82.82,79.98,81.76,15119710,0.0,0.0,2022-09-26,GAIL,-1.11
82.87,83.35,80.6,83.11,10752213,0.0,0.0,2022-09-27,GAIL,1.35
82.53,83.16,81.37,82.58,12068829,0.0,0.0,2022-09-28,GAIL,-0.53
82.87,83.59,82.14,82.77,12673874,0.0,0.0,2022-09-29,GAIL,0.19
82.14,84.07,81.9,83.88,11829278,0.0,0.0,2022-09-30,GAIL,1.11
84.75,84.75,81.42,82.05,14508849,0.0,0.0,2022-10-03,GAIL,-1.83
82.96,84.6,82.39,84.07,10340686,0.0,0.0,2022-10-04,GAIL,2.02
84.41,84.94,83.83,84.36,10663228,0.0,0.0,2022-10-06,GAIL,0.29
84.36,84.46,82.92,83.69,12478992,0.0,0.0,2022-10-07,GAIL,-0.67
82.39,86.24,82.39,85.95,11158338,0.0,0.0,2022-10-10,GAIL,2.26
85.85,85.85,82.87,83.06,13259938,0.0,0.0,2022-10-11,GAIL,-2.89
83.11,83.49,82.0,83.2,11033418,0.0,0.0,2022-10-12,GAIL,0.14
83.49,84.02,82.14,82.34,6397554,0.0,0.0,2022-10-13,GAIL,-0.86
83.16,83.64,81.95,82.0,6931298,0.0,0.0,2022-10-14,GAIL,-0.34
82.0,82.53,81.28,81.95,9373705,0.0,0.0,2022-10-17,GAIL,-0.05
82.39,82.77,81.81,81.9,8035885,0.0,0.0,2022-10-18,GAIL,-0.05
82.34,82.67,81.42,81.71,7157063,0.0,0.0,2022-10-19,GAIL,-0.19
81.52,84.6,81.08,84.26,17120292,0.0,0.0,2022-10-20,GAIL,2.55
84.26,84.89,83.11,83.3,7929074,0.0,0.0,2022-10-21,GAIL,-0.96
84.12,84.12,83.35,83.64,869107,0.0,0.0,2022-10-24,GAIL,0.34
83.64,84.36,82.77,83.4,7086629,0.0,0.0,2022-10-25,GAIL,-0.24
83.49,85.13,82.67,84.84,12203430,0.0,0.0,2022-10-27,GAIL,1.44
85.18,86.96,84.65,86.77,20036187,0.0,0.0,2022-10-28,GAIL,1.93
87.25,88.17,86.91,87.97,12658201,0.0,0.0,2022-10-31,GAIL,1.2
88.17,88.55,87.49,88.07,7632156,0.0,0.0,2022-11-01,GAIL,0.1
88.07,88.26,87.68,87.97,7390466,0.0,0.0,2022-11-02,GAIL,-0.1
87.68,87.88,86.91,87.25,12821695,0.0,0.0,2022-11-03,GAIL,-0.72
87.68,88.02,84.89,85.32,13339109,0.0,0.0,2022-11-04,GAIL,-1.93
85.32,87.49,84.79,87.25,13463366,0.0,0.0,2022-11-07,GAIL,1.93
87.2,87.25,85.04,85.37,12172444,0.0,0.0,2022-11-09,GAIL,-1.88
85.28,85.95,84.75,84.99,6898707,0.0,0.0,2022-11-10,GAIL,-0.38
85.76,86.09,84.84,85.61,8365138,0.0,0.0,2022-11-11,GAIL,0.62
